YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS10M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,PS,WD10M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2MDEW,PSC,WSC,Climate_Condition
2024,1,1,1.91,0.84,27.26,18.05,0.0,14.83,84.56,93.43,121.88,4.05,5.2,0.2,19.01,101.39,0.95,Humid
2024,1,2,1.76,1.04,26.0,19.01,1.66,15.2,85.81,93.37,78.62,4.5,4.79,0.23,19.39,101.32,1.16,Humid
2024,1,3,1.85,0.83,26.53,18.73,2.36,15.5,87.19,93.33,148.88,3.77,5.28,0.22,19.73,101.27,0.87,Humid
2024,1,4,2.0,0.69,25.66,19.66,9.41,16.36,90.56,93.33,148.69,3.96,5.44,0.2,20.61,101.27,0.77,Rainy
2024,1,5,1.81,0.81,26.27,20.23,8.47,16.66,90.06,93.28,121.56,3.52,5.33,0.27,20.92,101.21,0.86,Rainy
2024,1,6,2.3,0.92,25.94,19.38,3.24,16.05,89.5,93.27,86.5,4.63,5.49,0.25,20.28,101.21,1.04,Humid
2024,1,7,2.1,1.06,25.7,19.29,0.87,15.93,88.38,93.28,78.81,4.16,5.44,0.23,20.15,101.21,1.2,Humid
2024,1,8,2.27,1.17,25.92,19.87,1.56,16.11,90.25,93.32,108.69,4.35,5.6,0.31,20.34,101.26,1.31,Humid
2024,1,9,1.52,1.68,25.55,19.72,11.07,15.81,90.75,93.28,72.5,2.89,5.4,0.33,20.04,101.23,1.91,Rainy
2024,1,10,2.18,1.69,23.23,18.83,0.98,14.4,87.88,93.34,69.5,4.64,5.48,0.34,18.56,101.32,1.9,Humid
2024,1,11,2.42,1.95,26.11,18.62,0.03,14.4,84.25,93.31,76.06,5.29,5.66,0.41,18.56,101.26,2.12,Humid
2024,1,12,2.38,1.91,25.85,17.55,0.0,13.67,82.0,93.35,77.44,5.76,5.91,0.38,17.71,101.32,2.07,Humid
2024,1,13,2.28,1.56,26.15,17.23,0.0,13.79,82.5,93.42,71.31,5.5,5.78,0.31,17.88,101.4,1.78,Humid
2024,1,14,1.74,1.4,26.64,18.38,0.0,14.4,83.25,93.4,70.0,5.04,5.06,0.3,18.56,101.36,1.59,Humid
2024,1,15,1.68,1.12,26.12,16.94,0.0,13.12,80.81,93.42,70.12,4.9,4.96,0.27,17.06,101.41,1.16,Humid
2024,1,16,1.7,0.95,26.15,15.28,0.0,13.18,81.12,93.32,145.19,4.93,5.04,0.32,17.1,101.3,0.95,Humid
2024,1,17,2.09,0.8,26.7,16.98,0.0,13.18,78.5,93.25,135.5,5.34,5.44,0.33,17.07,101.2,0.67,Mild
2024,1,18,2.41,0.74,26.87,16.26,0.0,12.57,75.75,93.32,127.5,5.66,5.7,0.34,16.37,101.29,0.65,Mild
2024,1,19,2.55,0.88,27.63,16.52,1.27,15.01,84.56,93.3,80.69,5.71,5.81,0.27,19.13,101.25,0.98,Humid
2024,1,20,2.43,0.88,27.81,19.19,1.3,15.87,86.0,93.37,109.44,5.45,5.79,0.22,20.14,101.3,1.02,Humid
2024,1,21,2.56,1.09,27.99,19.0,0.19,15.26,82.25,93.42,67.38,5.68,5.74,0.26,19.5,101.35,1.19,Humid
2024,1,22,2.59,1.05,28.14,18.3,0.0,14.71,81.19,93.52,78.81,5.82,5.81,0.25,18.9,101.47,1.13,Humid
2024,1,23,2.64,0.95,27.51,17.72,0.01,14.16,80.81,93.49,130.44,5.79,5.87,0.25,18.26,101.45,0.94,Humid
2024,1,24,2.64,0.83,27.89,17.96,0.91,15.26,85.25,93.46,205.56,5.7,5.81,0.32,19.48,101.4,0.77,Humid
2024,1,25,2.64,0.87,26.73,18.68,0.0,14.28,81.25,93.52,130.94,5.74,5.88,0.23,18.42,101.48,0.97,Humid
2024,1,26,2.85,1.52,26.69,17.14,0.0,12.88,78.69,93.64,73.62,6.24,6.26,0.35,16.82,101.64,1.66,Mild
2024,1,27,2.88,1.66,26.13,17.4,0.0,12.57,78.12,93.64,72.69,6.24,6.43,0.38,16.5,101.64,1.85,Mild
2024,1,28,2.39,1.33,26.92,17.75,0.0,13.61,79.62,93.58,68.25,5.74,5.88,0.25,17.69,101.56,1.53,Mild
2024,1,29,2.44,1.26,27.07,17.25,0.0,12.88,77.75,93.54,64.44,5.76,6.01,0.3,16.79,101.53,1.34,Mild
2024,1,30,2.66,1.0,27.83,16.12,0.01,13.0,76.38,93.49,145.94,5.99,6.14,0.3,16.88,101.46,1.01,Mild
2024,1,31,2.49,1.1,28.15,16.65,0.32,14.53,83.38,93.51,186.5,5.77,5.93,0.38,18.69,101.47,1.08,Humid
2024,2,1,2.47,0.95,28.12,18.87,0.2,15.01,82.25,93.54,207.06,5.87,6.06,0.39,19.26,101.48,0.83,Humid
2024,2,2,2.3,0.87,29.04,18.9,0.12,15.62,83.5,93.47,159.62,5.56,5.87,0.34,19.88,101.39,0.8,Humid
2024,2,3,2.23,0.89,29.08,19.46,0.0,15.75,82.12,93.49,86.0,5.39,5.59,0.16,20.02,101.4,1.12,Humid
2024,2,4,2.87,1.37,27.96,17.9,0.0,13.37,77.19,93.63,69.0,6.21,6.29,0.3,17.42,101.61,1.6,Mild
2024,2,5,2.94,1.55,27.28,15.92,0.0,11.84,73.69,93.65,73.12,6.5,6.49,0.36,15.54,101.65,1.71,Mild
2024,2,6,2.99,1.62,27.52,15.4,0.0,11.72,73.88,93.58,71.31,6.52,6.5,0.34,15.31,101.58,1.85,Mild
2024,2,7,3.12,1.23,28.28,15.4,0.0,11.6,72.88,93.57,73.06,6.63,6.64,0.21,15.18,101.57,1.61,Mild
2024,2,8,2.59,1.35,28.8,14.87,0.0,11.41,70.06,93.5,79.69,6.13,6.68,0.26,14.88,101.48,1.75,Mild
2024,2,9,2.83,1.54,28.57,15.04,0.0,11.84,72.12,93.52,81.44,6.53,6.52,0.32,15.49,101.49,1.89,Mild
2024,2,10,2.7,1.74,28.19,16.08,0.0,12.51,73.81,93.6,78.38,6.14,6.33,0.38,16.37,101.57,2.04,Mild
2024,2,11,2.78,1.73,29.04,17.98,0.0,12.82,71.88,93.64,72.19,6.28,6.37,0.35,16.75,101.6,1.95,Mild
2024,2,12,3.09,1.7,29.12,16.25,0.0,11.72,69.88,93.57,75.75,6.71,6.7,0.33,15.39,101.54,1.94,Mild
2024,2,13,3.05,1.54,29.26,16.26,0.0,12.27,71.25,93.53,70.62,6.4,6.69,0.3,16.05,101.48,1.71,Mild
2024,2,14,2.95,1.38,30.35,18.76,0.0,14.16,73.88,93.45,79.19,5.94,6.36,0.27,18.3,101.35,1.68,Hot
2024,2,15,2.98,1.44,29.93,17.19,0.0,12.45,69.19,93.44,75.56,6.45,6.67,0.24,16.26,101.36,1.64,Mild
2024,2,16,3.18,1.57,30.43,18.37,0.0,13.0,69.56,93.45,77.0,6.67,6.75,0.29,16.91,101.36,1.78,Hot
2024,2,17,2.96,1.15,31.62,18.33,0.0,13.37,69.38,93.36,92.81,6.58,6.63,0.27,17.34,101.25,1.24,Hot
2024,2,18,3.17,1.15,31.29,17.39,0.0,11.78,64.31,93.34,75.0,6.65,6.72,0.28,15.27,101.24,1.23,Hot
2024,2,19,3.1,0.96,32.02,17.42,0.0,12.63,65.94,93.37,142.5,6.62,6.65,0.29,16.41,101.25,1.06,Hot
2024,2,20,3.05,1.09,32.11,18.57,0.16,13.55,68.69,93.41,168.0,6.44,6.51,0.35,17.46,101.28,1.14,Hot
2024,2,21,2.75,0.98,31.55,21.19,0.39,15.44,73.38,93.37,230.88,5.82,6.3,0.34,19.62,101.23,0.98,Hot
2024,2,22,2.55,1.32,30.51,21.15,0.0,15.2,74.75,93.4,279.56,5.72,5.95,0.44,19.43,101.28,1.37,Hot
2024,2,23,3.23,1.15,32.55,19.56,0.0,14.53,71.75,93.34,278.88,6.38,6.48,0.41,18.64,101.2,1.06,Hot
2024,2,24,2.82,0.88,31.86,20.4,0.0,15.2,73.31,93.29,268.19,5.75,6.12,0.37,19.42,101.15,0.79,Hot
2024,2,25,2.95,0.73,32.8,20.7,0.0,14.34,68.62,93.19,87.38,6.08,6.17,0.19,18.41,101.02,0.92,Hot
2024,2,26,2.81,1.68,32.01,18.11,0.0,12.51,62.94,93.2,81.44,6.13,6.65,0.3,16.25,101.06,1.95,Hot
2024,2,27,3.17,1.57,31.93,21.0,0.0,13.79,65.38,93.26,81.56,6.18,6.81,0.27,17.89,101.11,1.81,Hot
2024,2,28,3.45,1.49,32.52,18.73,0.0,12.02,61.5,93.25,76.5,6.98,6.99,0.31,15.58,101.11,1.57,Hot
